Designator,Mid X,Mid Y,Layer,Rotation
BATT,48.54, 7.44,Top,0.0
BATTERY, 3.30,10.49,Top,270.0
C1,31.24,18.44,Top,90.0
C2,29.24,22.86,Top,90.0
C3,31.27,22.86,Top,90.0
C4,25.17,22.86,Top,90.0
C5,27.20,22.86,Top,90.0
C6,30.38,14.73,Top,270.0
IC1,26.92,17.78,Top,0.0
J1,43.36,14.99,Top,90.0
L1,37.97,18.72,Top,90.0
OUTPUT, 3.30,19.56,Top,270.0
R1,32.44,14.78,Top,270.0
R2,45.16, 9.35,Top,0.0
R3,45.16,20.62,Top,0.0
R4,33.99,14.43,Top,270.0
R5,25.40,13.97,Top,90.0
R6,26.44,13.97,Top,90.0
R7,22.48, 3.30,Top,90.0
R8,22.48,16.36,Top,0.0
R9,27.89,13.97,Top,90.0
R10,35.18,10.74,Top,270.0
R11,23.77,13.97,Top,90.0
R12,22.73,13.97,Top,90.0
R13,22.48,17.40,Top,0.0
STAT,48.54,22.53,Top,0.0
I_SET,28.83,6.99,Top,270.0
OUTPUT_ON,15.62,28.45,Top,180.0
